minutes_watched,CLV,region,channel,1,2,3,4,5,6,7,8,PCA_PC1,PCA_PC2,GMM_Segment
5811.0,180.17,2,3,0,0,1,0,0,0,0,0,1.0671083012244034,1.71426056546799,0
1574.0,180.17,1,6,0,0,0,0,0,1,0,0,-0.7031890018506587,2.0202999949878064,2
8121.0,269.97,0,8,0,0,0,0,0,0,0,1,-2.793510594098795,-0.263080512430584,3
399.0,149.99,2,4,0,0,0,1,0,0,0,0,1.5604473922017468,-0.6162180171061397,0
1817.0,269.97,0,3,0,0,1,0,0,0,0,0,-2.6756284459105633,1.3247202707184085,1
42437.0,285.76,0,3,0,0,1,0,0,0,0,0,-2.6326674784273014,2.373967501760394,2
5574.0,286.17,2,3,0,0,1,0,0,0,0,0,0.70592666260803,2.2540607671751296,2
266.0,149.99,2,7,0,0,0,0,0,0,1,0,1.5957580844509076,0.07810680066101171,0
4461.0,287.49,0,1,1,0,0,0,0,0,0,0,-2.609098112879439,-0.4365310725376407,3
3326.0,102.18,2,4,0,0,0,1,0,0,0,0,1.730066050467511,-0.7924837085773729,0
9410.0,185.98,2,5,0,0,0,0,1,0,0,0,1.704492025029763,0.03585638460251681,0
1632.0,202.04,2,1,1,0,0,0,0,0,0,0,1.1026003320989626,-0.18720251940796467,0
4071.0,149.98,0,7,0,0,0,0,0,0,1,0,-1.8228779899490817,-0.5877177723285447,3
14036.0,180.52,2,3,0,0,1,0,0,0,0,0,1.0854938473051587,1.9120676677855293,0
6438.0,515.24,2,1,1,0,0,0,0,0,0,0,0.048516240616621485,1.5389715761831275,2
2984.0,363.79,1,3,0,0,1,0,0,0,0,0,-1.5454800122345014,4.061159582047507,2
61.0,149.99,0,4,0,0,0,1,0,0,0,0,-1.8680834277710991,-1.3807210111688502,3
4499.0,86.24,2,2,0,1,0,0,0,0,0,0,1.7694631221932586,-0.33890095048264846,0
315.0,149.98,0,4,0,0,0,1,0,0,0,0,-1.867444863640241,-1.374719514361736,3
2991.0,306.58,2,1,1,0,0,0,0,0,0,0,0.7501843183483073,0.3831184304980518,2
7761.0,176.98,2,1,1,0,0,0,0,0,0,0,1.2024433553872804,-0.17009736101871759,0
1293.0,358.18,1,1,1,0,0,0,0,0,0,0,-1.4105779096066176,2.0775820206974274,2
3602.0,269.96,2,1,1,0,0,0,0,0,0,0,0.8762217147788638,0.2092420237042557,0
2843.0,286.09,0,7,0,0,0,0,0,0,1,0,-2.2888540990545683,0.08340449280363194,3
2646.0,269.97,0,3,0,0,1,0,0,0,0,0,-2.673655348863657,1.3444757786167234,1
1582.0,75.42,2,4,0,0,0,1,0,0,0,0,1.8169540911576907,-0.9717440504366874,0
6404.0,528.89,2,1,1,0,0,0,0,0,0,0,0.001997301914701454,1.608400637314391,2
8413.0,302.11,1,3,0,0,1,0,0,0,0,0,-1.3227198943594067,3.873146511140315,2
3492.0,223.22,1,7,0,0,0,0,0,0,1,0,-0.6268709597283824,2.0012141857830894,2
34370.0,295.71,0,1,1,0,0,0,0,0,0,0,-2.5658767840475636,0.31851414767676456,3
1188.0,147.0,2,1,1,0,0,0,0,0,0,0,1.2887925360667807,-0.4810045942301113,0
611.0,353.53,0,3,0,0,1,0,0,0,0,0,-2.962774338265828,1.7259583703120391,1
980.0,359.03,0,4,0,0,0,1,0,0,0,0,-2.577061160373874,-0.28315606108102226,3
1171.0,268.99,2,5,0,0,0,0,1,0,0,0,1.402478067861845,0.2666642242830791,0
55380.0,64.8,0,7,0,0,0,0,0,0,1,0,-1.41097097612094,0.19668899108294757,2
3.0,213.61,2,4,0,0,0,1,0,0,0,0,1.3430663003954462,-0.29828316942135397,0
1616.0,174.01,2,3,0,0,1,0,0,0,0,0,1.078080454254146,1.5825937645908206,0
288.0,184.44,2,7,0,0,0,0,0,0,1,0,1.4786097406039278,0.25590168427328747,0
1465.0,270.49,0,1,1,0,0,0,0,0,0,0,-2.5583939801752216,-0.5954048504502919,3
6331.0,99.0,2,4,0,0,0,1,0,0,0,0,1.7480367564486177,-0.7372364123689013,0
313.0,118.47,2,1,1,0,0,0,0,0,0,0,1.383770510306013,-0.6486641601310517,0
804.0,213.97,2,3,0,0,1,0,0,0,0,0,0.9402018040577396,1.7688669941098765,0
1971.0,207.55,0,3,0,0,1,0,0,0,0,0,-2.462905799500428,1.0071933186397974,1
